date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:52	275/275	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:52%20GMT	http://bookwritingfounders.com/article-writing-publication	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/article-writing-publication	(from https://bookwritingfounders.com/)
13:19:53	77140/77140	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:52%20GMT	https://bookwritingfounders.com/article-writing-publication	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/article-writing-publication.html	(from https://bookwritingfounders.com/)
13:19:53	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:52%20GMT	http://bookwritingfounders.com/about-us	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/about-us	(from https://bookwritingfounders.com/)
13:19:54	51891/51891	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:53%20GMT	https://bookwritingfounders.com/about-us	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/about-us.html	(from https://bookwritingfounders.com/)
13:19:54	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:53%20GMT	http://bookwritingfounders.com/pricing	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/pricing	(from https://bookwritingfounders.com/)
13:19:54	50901/50901	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:54%20GMT	https://bookwritingfounders.com/pricing	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/pricing.html	(from https://bookwritingfounders.com/)
13:19:55	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:54%20GMT	http://bookwritingfounders.com/contact	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/contact	(from https://bookwritingfounders.com/)
13:19:55	39582/39582	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:54%20GMT	https://bookwritingfounders.com/contact	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/contact.html	(from https://bookwritingfounders.com/)
13:19:56	6970/6970	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2029%20Feb%202020%2004:40:20%20GMT	https://bookwritingfounders.com/assets/images/logo-dark.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/logo-dark.svg	(from https://bookwritingfounders.com/)
13:19:57	1585/1585	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2015:13:26%20GMT	https://bookwritingfounders.com/assets/images/us-flag.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/us-flag.png	(from https://bookwritingfounders.com/)
13:19:57	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:57%20GMT	http://bookwritingfounders.com/order	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/order	(from https://bookwritingfounders.com/)
13:19:57	14842/14842	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:57%20GMT	https://bookwritingfounders.com/order	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com//order/	(from https://bookwritingfounders.com/)
13:20:00	596812/596812	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2019:52:10%20GMT	https://bookwritingfounders.com/assets/images/find-the-new-york-times.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/find-the-new-york-times.jpg	(from https://bookwritingfounders.com/)
13:20:00	2385142/2385142	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2019:52:10%20GMT	https://bookwritingfounders.com/assets/images/newhomebanner.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/newhomebanner.jpg	(from https://bookwritingfounders.com/)
13:20:01	392768/392768	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2019:52:10%20GMT	https://bookwritingfounders.com/assets/images/nonfiction-books.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/nonfiction-books.jpg	(from https://bookwritingfounders.com/)
13:20:02	553867/553867	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2019:52:10%20GMT	https://bookwritingfounders.com/assets/images/comics.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/comics.jpg	(from https://bookwritingfounders.com/)
13:20:02	6817/6817	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/amazon.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/amazon.png	(from https://bookwritingfounders.com/)
13:20:02	2094/2094	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/ibookstore.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/ibookstore.png	(from https://bookwritingfounders.com/)
13:20:02	2118977/2118977	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2019:52:10%20GMT	https://bookwritingfounders.com/assets/images/unlocking-potential.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/unlocking-potential.jpg	(from https://bookwritingfounders.com/)
13:20:02	3315/3315	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/playstore.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/playstore.png	(from https://bookwritingfounders.com/)
13:20:03	872307/872307	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Aug%202019%2019:52:10%20GMT	https://bookwritingfounders.com/assets/images/books-for-kids.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/books-for-kids.jpg	(from https://bookwritingfounders.com/)
13:20:03	7607/7607	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/kobo.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/kobo.png	(from https://bookwritingfounders.com/)
13:20:03	8669/8669	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/scribd.png	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/scribd.png	(from https://bookwritingfounders.com/)
13:20:03	13686/13686	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jun%202019%2020:40:38%20GMT	https://bookwritingfounders.com/assets/images/services/1.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/1.svg	(from https://bookwritingfounders.com/)
13:20:04	45471/45471	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jun%202019%2020:40:38%20GMT	https://bookwritingfounders.com/assets/images/services/2.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/2.svg	(from https://bookwritingfounders.com/)
13:20:04	28652/28652	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jun%202019%2020:40:38%20GMT	https://bookwritingfounders.com/assets/images/services/3.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/3.svg	(from https://bookwritingfounders.com/)
13:20:04	45002/45002	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jun%202019%2020:40:38%20GMT	https://bookwritingfounders.com/assets/images/services/4.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/4.svg	(from https://bookwritingfounders.com/)
